iter	Passed	Remaining
0	0	72
1	1	65
2	1	61
3	2	57
4	3	57
5	3	57
6	4	56
7	4	55
8	5	54
9	6	54
10	6	53
11	7	52
12	8	54
13	9	57
14	10	57
15	10	56
16	11	55
17	11	54
18	12	53
19	13	52
20	13	51
21	14	50
22	14	50
23	15	49
24	16	48
25	16	47
26	17	46
27	17	45
28	18	45
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	33	28
54	36	29
55	36	28
56	37	28
57	38	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
