iter	Passed	Remaining
0	7	7765
1	8	4196
2	9	3001
3	9	2427
4	10	2087
5	11	1832
6	11	1654
7	12	1516
8	12	1405
9	13	1331
10	14	1265
11	14	1217
12	15	1182
13	16	1135
14	16	1092
15	17	1055
16	17	1028
17	18	1006
18	19	981
19	19	957
20	20	936
21	20	917
22	21	899
23	21	885
24	22	869
25	22	854
26	23	840
27	23	826
28	24	815
29	24	803
30	25	791
31	25	781
32	26	771
33	26	762
34	27	752
35	27	749
36	28	745
37	29	738
38	29	731
39	30	723
40	30	716
41	31	710
42	31	704
43	32	698
44	32	692
45	33	687
46	33	684
47	34	681
48	34	678
49	35	674
50	35	669
51	36	664
52	37	662
53	37	658
54	38	654
55	38	650
56	39	646
57	39	642
58	40	640
59	40	637
60	41	634
61	41	631
62	42	628
63	42	625
64	43	622
65	43	618
66	44	615
67	44	613
68	45	610
69	45	607
70	46	605
71	46	603
72	47	601
73	47	599
74	48	597
75	48	595
76	49	592
77	49	590
78	50	588
79	50	585
80	51	583
81	51	580
82	52	576
83	52	576
84	53	576
85	54	575
86	54	573
87	55	572
88	55	570
89	56	569
90	56	567
91	57	565
92	57	565
93	58	565
94	59	565
95	59	564
96	60	563
97	61	562
98	61	561
99	62	559
100	62	558
101	63	556
102	63	554
103	64	554
104	65	558
105	66	557
106	66	556
107	67	554
108	67	553
109	68	551
110	68	551
111	69	549
112	69	548
113	70	548
114	71	547
115	71	546
116	72	544
117	72	542
118	73	541
119	73	540
120	74	539
121	74	537
122	75	536
123	75	534
124	76	533
125	76	532
126	77	531
127	77	530
128	78	531
129	79	531
130	79	529
131	80	528
132	80	527
133	81	526
134	81	524
135	82	523
136	82	522
137	83	521
138	83	520
139	84	518
140	84	517
141	85	515
142	85	514
143	86	513
144	86	512
145	87	511
146	87	510
147	88	508
148	88	507
149	89	506
150	90	506
151	90	505
152	91	504
153	91	503
154	92	502
155	92	501
156	93	500
157	93	499
158	94	498
159	94	498
160	95	496
161	95	495
162	96	494
163	96	493
164	97	492
165	97	492
166	98	491
167	99	490
168	99	489
169	100	488
170	100	488
171	101	487
172	101	487
173	102	486
174	103	485
175	103	485
176	104	484
177	104	483
178	105	482
179	105	481
180	106	480
181	106	479
182	107	478
183	107	477
184	108	476
185	108	475
186	109	475
187	109	474
188	110	473
189	110	472
190	111	471
191	111	471
192	112	470
193	113	470
194	113	469
195	114	468
196	114	467
197	115	466
198	115	466
199	116	465
200	116	464
201	117	463
202	117	462
203	118	461
204	118	461
205	119	460
206	119	459
207	120	458
208	120	457
209	121	456
210	121	455
211	122	454
212	122	454
213	123	453
214	123	452
215	124	451
216	125	451
217	125	450
218	126	449
219	126	449
220	127	448
221	127	447
222	128	447
223	128	446
224	129	445
225	129	444
226	130	443
227	130	443
228	131	442
229	131	441
230	132	440
231	132	439
232	133	439
233	133	438
234	134	437
235	134	436
236	135	435
237	135	434
238	136	434
239	136	433
240	137	432
241	137	431
242	138	430
243	138	430
244	139	429
245	139	428
246	140	427
247	140	426
248	141	426
249	141	425
250	142	424
251	142	423
252	143	423
253	143	422
254	144	421
255	145	421
256	145	420
257	146	420
258	146	419
259	147	418
260	147	417
261	148	417
262	148	416
263	149	415
264	149	414
265	150	413
266	150	413
267	151	412
268	151	412
269	152	412
270	152	411
271	153	410
272	153	410
273	154	409
274	154	408
275	155	407
276	155	407
277	156	406
278	156	405
279	157	405
280	158	404
281	158	403
282	159	403
283	159	402
284	160	401
285	160	400
286	161	400
287	161	399
288	162	398
289	162	398
290	163	397
291	163	397
292	164	396
293	165	396
294	165	395
295	166	395
296	166	394
297	167	394
298	168	393
299	168	393
300	169	392
301	169	392
302	170	392
303	171	391
304	171	391
305	172	390
306	172	390
307	173	389
308	174	389
309	174	388
310	175	388
311	175	387
312	176	386
313	176	386
314	177	385
315	177	385
316	178	384
317	178	383
318	179	383
319	180	383
320	180	382
321	181	381
322	181	381
323	182	380
324	183	380
325	183	379
326	184	379
327	184	378
328	185	377
329	185	377
330	186	376
331	186	376
332	187	375
333	188	374
334	188	374
335	189	373
336	189	373
337	190	372
338	190	372
339	191	371
340	191	370
341	192	370
342	192	369
343	193	368
344	194	368
345	194	368
346	195	367
347	195	366
348	196	366
349	196	365
350	197	365
351	197	364
352	198	363
353	198	363
354	199	362
355	200	361
356	200	361
357	201	360
358	201	360
359	202	360
360	203	359
361	203	358
362	204	358
363	204	357
364	205	357
365	206	356
366	206	356
367	207	356
368	208	356
369	208	355
370	209	355
371	210	355
372	211	355
373	211	354
374	212	354
375	213	354
376	214	353
377	214	353
378	215	352
379	215	352
380	216	351
381	216	350
382	217	350
383	218	349
384	218	349
385	219	348
386	220	348
387	220	348
388	221	348
389	222	347
390	222	346
391	223	346
392	223	345
393	224	344
394	224	344
395	225	344
396	226	344
397	227	343
398	227	343
399	228	343
400	229	342
401	230	342
402	230	341
403	231	340
404	231	340
405	232	339
406	233	339
407	233	339
408	234	338
409	235	338
410	236	338
411	236	337
412	237	337
413	237	336
414	238	336
415	239	335
416	239	335
417	240	334
418	240	333
419	241	333
420	241	332
421	242	332
422	243	331
423	243	331
424	244	330
425	245	330
426	245	329
427	246	328
428	246	328
429	247	328
430	248	327
431	248	327
432	249	326
433	250	326
434	250	325
435	251	324
436	251	324
437	252	323
438	252	322
439	253	322
440	253	321
441	254	320
442	254	320
443	255	319
444	255	319
445	256	318
446	257	318
447	257	317
448	258	316
449	258	316
450	259	315
451	259	314
452	260	314
453	260	313
454	261	312
455	261	312
456	262	312
457	263	311
458	263	310
459	264	310
460	264	309
461	265	309
462	266	308
463	266	307
464	267	307
465	267	306
466	268	305
467	268	305
468	269	304
469	269	304
470	270	303
471	270	303
472	271	302
473	271	301
474	272	301
475	272	300
476	273	299
477	274	299
478	274	298
479	275	298
480	275	297
481	276	297
482	276	296
483	277	295
484	278	295
485	278	294
486	279	294
487	279	293
488	280	292
489	280	292
490	281	291
491	281	290
492	282	290
493	282	289
494	283	289
495	284	288
496	284	288
497	285	287
498	285	286
499	286	286
500	286	285
501	287	285
502	287	284
503	288	283
504	289	283
505	289	282
506	290	282
507	290	281
508	291	281
509	292	280
510	292	280
511	293	279
512	294	279
513	294	278
514	295	278
515	296	277
516	296	277
517	297	276
518	298	276
519	298	275
520	299	275
521	300	275
522	301	274
523	301	274
524	302	273
525	302	272
526	303	272
527	303	271
528	304	271
529	305	270
530	305	270
531	306	269
532	307	269
533	307	268
534	308	268
535	309	267
536	309	266
537	310	266
538	310	265
539	311	265
540	311	264
541	312	264
542	313	263
543	313	262
544	314	262
545	314	261
546	315	261
547	315	260
548	316	259
549	316	259
550	317	258
551	317	258
552	318	257
553	319	256
554	319	256
555	320	255
556	320	255
557	321	254
558	322	254
559	322	253
560	323	252
561	323	252
562	324	251
563	324	251
564	325	250
565	325	249
566	326	249
567	326	248
568	327	248
569	327	247
570	328	246
571	328	246
572	329	245
573	330	244
574	330	244
575	331	244
576	332	243
577	332	242
578	333	242
579	333	241
580	334	241
581	334	240
582	335	239
583	335	239
584	336	238
585	337	238
586	337	237
587	338	236
588	338	236
589	339	235
590	339	234
591	340	234
592	340	233
593	340	233
594	341	232
595	341	231
596	342	231
597	343	230
598	343	230
599	344	229
600	344	228
601	345	228
602	345	227
603	346	227
604	346	226
605	347	225
606	347	225
607	348	224
608	349	224
609	349	223
610	350	223
611	350	222
612	351	221
613	351	221
614	352	220
615	353	220
616	353	219
617	354	218
618	354	218
619	355	217
620	355	217
621	356	216
622	356	215
623	357	215
624	358	214
625	358	214
626	359	213
627	359	213
628	360	212
629	361	212
630	361	211
631	362	211
632	363	210
633	363	210
634	364	209
635	364	208
636	365	208
637	366	207
638	366	207
639	367	206
640	367	206
641	368	205
642	369	204
643	369	204
644	370	203
645	370	203
646	371	202
647	371	201
648	372	201
649	372	200
650	373	200
651	373	199
652	374	198
653	375	198
654	375	197
655	376	197
656	376	196
657	377	196
658	377	195
659	378	194
660	378	194
661	379	193
662	379	193
663	380	192
664	381	191
665	381	191
666	382	190
667	382	190
668	383	189
669	383	188
670	384	188
671	384	187
672	384	187
673	385	186
674	386	185
675	386	185
676	387	184
677	387	184
678	388	183
679	388	182
680	389	182
681	389	181
682	390	181
683	390	180
684	391	179
685	391	179
686	392	178
687	393	178
688	393	177
689	394	177
690	394	176
691	395	175
692	395	175
693	396	174
694	396	174
695	397	173
696	397	172
697	398	172
698	399	171
699	399	171
700	400	170
701	400	170
702	401	169
703	402	169
704	402	168
705	403	168
706	404	167
707	404	166
708	405	166
709	405	165
710	406	165
711	406	164
712	407	164
713	407	163
714	408	162
715	408	162
716	409	161
717	409	160
718	410	160
719	411	159
720	411	159
721	412	158
722	412	158
723	413	157
724	413	156
725	414	156
726	414	155
727	415	155
728	415	154
729	416	153
730	416	153
731	417	152
732	418	152
733	418	151
734	419	151
735	419	150
736	420	149
737	420	149
738	420	148
739	421	148
740	421	147
741	422	146
742	423	146
743	423	145
744	424	145
745	424	144
746	425	144
747	425	143
748	426	142
749	426	142
750	427	141
751	428	141
752	428	140
753	429	140
754	429	139
755	430	138
756	430	138
757	431	137
758	431	137
759	432	136
760	432	135
761	433	135
762	433	134
763	434	134
764	434	133
765	435	133
766	436	132
767	436	131
768	437	131
769	437	130
770	438	130
771	438	129
772	439	128
773	439	128
774	440	127
775	440	127
776	441	126
777	441	126
778	442	125
779	443	124
780	443	124
781	444	123
782	444	123
783	445	122
784	445	122
785	446	121
786	446	120
787	447	120
788	447	119
789	448	119
790	449	118
791	449	118
792	450	117
793	450	116
794	451	116
795	451	115
796	452	115
797	452	114
798	453	113
799	453	113
800	454	112
801	454	112
802	455	111
803	455	111
804	456	110
805	456	109
806	457	109
807	457	108
808	458	108
809	458	107
810	459	107
811	459	106
812	460	105
813	460	105
814	461	104
815	461	104
816	462	103
817	462	102
818	463	102
819	463	101
820	464	101
821	464	100
822	465	100
823	465	99
824	466	98
825	466	98
826	467	97
827	467	97
828	468	96
829	468	96
830	469	95
831	469	94
832	470	94
833	470	93
834	471	93
835	471	92
836	472	92
837	473	91
838	473	90
839	474	90
840	474	89
841	475	89
842	475	88
843	475	87
844	476	87
845	477	86
846	478	86
847	478	85
848	479	85
849	480	84
850	480	84
851	480	83
852	481	82
853	481	82
854	482	81
855	482	81
856	483	80
857	483	80
858	484	79
859	485	78
860	485	78
861	486	77
862	486	77
863	487	76
864	487	76
865	488	75
866	489	75
867	489	74
868	490	73
869	490	73
870	491	72
871	491	72
872	492	71
873	492	71
874	493	70
875	493	69
876	494	69
877	494	68
878	495	68
879	495	67
880	496	67
881	496	66
882	497	65
883	498	65
884	498	64
885	499	64
886	499	63
887	500	63
888	500	62
889	501	61
890	501	61
891	502	60
892	502	60
893	503	59
894	503	59
895	504	58
896	504	57
897	505	57
898	505	56
899	506	56
900	506	55
901	507	55
902	507	54
903	508	53
904	508	53
905	509	52
906	509	52
907	510	51
908	510	51
909	511	50
910	511	50
911	512	49
912	512	48
913	513	48
914	513	47
915	514	47
916	514	46
917	515	46
918	515	45
919	516	44
920	517	44
921	517	43
922	518	43
923	518	42
924	518	42
925	519	41
926	519	40
927	520	40
928	520	39
929	521	39
930	521	38
931	522	38
932	523	37
933	523	37
934	524	36
935	524	35
936	525	35
937	525	34
938	526	34
939	526	33
940	527	33
941	527	32
942	528	31
943	528	31
944	529	30
945	529	30
946	530	29
947	530	29
948	531	28
949	531	27
950	532	27
951	532	26
952	533	26
953	533	25
954	534	25
955	535	24
956	535	24
957	536	23
958	536	22
959	537	22
960	537	21
961	538	21
962	538	20
963	539	20
964	540	19
965	540	19
966	541	18
967	541	17
968	542	17
969	542	16
970	543	16
971	543	15
972	544	15
973	544	14
974	545	13
975	545	13
976	546	12
977	546	12
978	547	11
979	548	11
980	548	10
981	549	10
982	549	9
983	550	8
984	550	8
985	551	7
986	551	7
987	552	6
988	552	6
989	553	5
990	553	5
991	554	4
992	554	3
993	555	3
994	555	2
995	556	2
996	556	1
997	557	1
998	557	0
999	558	0
